Title,Author,Rating,Date Completed,Get Cover Image,Cover Image,Currently Reading,Genre,Topic,Notes,Date Started
"The Da Vinci Code (Robert Langdon, #2)","Brown, Dan *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec27u06R6eYBILiI?blocks=bliATv69IO4BqYexJ,,,,,,
The Debt Trap: How Student Loans Became a National Catastrophe,Josh Mitchell,4,8/2/2022,https://airtable.com/tblFKk2Z5THzqPENb/rech48k7QOJWioYvm?blocks=bliATv69IO4BqYexJ,,,,,,
The Design of Everyday Things,"Norman, Donald A.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recXqjSGIUZFFT9T2?blocks=bliATv69IO4BqYexJ,,,,,,
The Divine Within: Selected Writings on Enlightenment,"Huxley, Aldous",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recewEvvfOUXouArj?blocks=bliATv69IO4BqYexJ,,,,,,
The Doors of Perception,"Huxley, Aldous",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recImS778arF42ufA?blocks=bliATv69IO4BqYexJ,,,,,,
The Goldfinch,"Tartt, Donna",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recECumcRmdc0Z2xs?blocks=bliATv69IO4BqYexJ,,,,,,
The Grapes of Wrath,"Steinbeck, John",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recRZmUMU65GxWrm9?blocks=bliATv69IO4BqYexJ,,,,,,
The Great Gatsby,"Fitzgerald, F. Scott",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recyeu73a9XtoafmA?blocks=bliATv69IO4BqYexJ,,,,,,
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,"Horowitz, Ben *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recfBk8WoHNblPmCX?blocks=bliATv69IO4BqYexJ,,,,,,
"The Hobbit (The Lord of the Rings, #0)","Tolkien, J.R.R.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recvNFsCN9E8Q96Tk?blocks=bliATv69IO4BqYexJ,,,,,,
The Lessons of History,"Durant, Will",4,7/27/2022,https://airtable.com/tblFKk2Z5THzqPENb/recCBL52y08UVnb5M?blocks=bliATv69IO4BqYexJ,,,,,,
The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,"Zuckerman, Gregory *",4,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/recZA4cYgydAyILmV?blocks=bliATv69IO4BqYexJ,,,,,,
The Martian,"Weir, Andy *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recafrRUULemTcmlH?blocks=bliATv69IO4BqYexJ,,,,,,
The Metamorphosis,"Kafka, Franz",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recaoZJVXEyVJpqTt?blocks=bliATv69IO4BqYexJ,,,,,,
The Nineties: A Book,"Klosterman, Chuck",4,5/3/2022,https://airtable.com/tblFKk2Z5THzqPENb/recI5WW4d8n4f2IsY?blocks=bliATv69IO4BqYexJ,,,,,,
The Old Man and the Sea,"Hemingway, Ernest",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recNga5tuRuENIwGK?blocks=bliATv69IO4BqYexJ,,,,,,
The Omnivore's Dilemma: A Natural History of Four Meals,"Pollan, Michael *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recJOD5UTOvtFC9CP?blocks=bliATv69IO4BqYexJ,,,,,,
The Overstory,"Powers, Richard",4,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/recX7VeKgofyO6p5M?blocks=bliATv69IO4BqYexJ,,,,,,
The Perennial Philosophy,"Huxley, Aldous",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recvTC1SzZQgEuzEJ?blocks=bliATv69IO4BqYexJ,,,,,,
The Power of Habit: Why We Do What We Do in Life and Business,"Duhigg, Charles *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rect2mH3k5wCLMupX?blocks=bliATv69IO4BqYexJ,,,,,,
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness","Housel, Morgan",4,1/7/2021,https://airtable.com/tblFKk2Z5THzqPENb/recCkKvPoabhfBqO7?blocks=bliATv69IO4BqYexJ,,,,,,
The Right Stuff,"Wolfe, Tom",4,8/15/2021,https://airtable.com/tblFKk2Z5THzqPENb/recx2ngYlXvrSx8If?blocks=bliATv69IO4BqYexJ,,,,,,
The Righteous Mind: Why Good People are Divided by Politics and Religion,"Haidt, Jonathan",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recGWUL0iraLTRhOx?blocks=bliATv69IO4BqYexJ,,,,,,
The Tempest,"Shakespeare, William",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec6ces5ysHEqoQNy?blocks=bliATv69IO4BqYexJ,,,,,,
The Visible Man,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recntR5UZGizHzJqI?blocks=bliATv69IO4BqYexJ,,,,,,
The War of the Worlds,"Wells, H.G.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recuDbCtNNEruaFMt?blocks=bliATv69IO4BqYexJ,,,,,,
The Yellow Birds,"Powers, Kevin",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/reckyywYPoNVRiawf?blocks=bliATv69IO4BqYexJ,,,,,,
"Thinking, Fast and Slow","Kahneman, Daniel",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recw7ZvjeTFtwJfIN?blocks=bliATv69IO4BqYexJ,,,,,,
To Kill a Mockingbird,"Lee, Harper",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recy4Sj5xkQd3nlrx?blocks=bliATv69IO4BqYexJ,,,,,,
Travels with Charley: In Search of America,"Steinbeck, John",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/reco5Ghqz5SiP6ga4?blocks=bliATv69IO4BqYexJ,,,,,,
Treasure Island,"Stevenson, Robert Louis",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recf8gizhP7bDZZvG?blocks=bliATv69IO4BqYexJ,,,,,,
"Unbroken: A World War II Story of Survival, Resilience and Redemption","Hillenbrand, Laura",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec5NWldyyEfVAepQ?blocks=bliATv69IO4BqYexJ,,,,,,
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"Munroe, Randall *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recOHcdzO8KjpeA86?blocks=bliATv69IO4BqYexJ,,,,,,
When Breath Becomes Air,"Kalanithi, Paul",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recvQWNmrbEhXZFuS?blocks=bliATv69IO4BqYexJ,,,,,,
Why We Sleep,Matthew Walker,4,1/10/2023,https://airtable.com/tblFKk2Z5THzqPENb/recZhR3gfKQNvkwzO?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556604137l/34466963._SY475_.jpg,checked,Health & Wellness,Mental and Physical Health,mentioned by huberman was also guest,
A Wrestling Life: The Inspiring Stories of Dan Gable,"Gable, Dan",3,10/24/2020,https://airtable.com/tblFKk2Z5THzqPENb/recf1SSat2mzGltaN?blocks=bliATv69IO4BqYexJ,,,,,,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future","Vance, Ashlee *",3,1/10/2017,https://airtable.com/tblFKk2Z5THzqPENb/rechVEH0hl0aiRBRL?blocks=bliATv69IO4BqYexJ,,,,,,
